Society,Year,Type_of_Society,Time_Type,Military_Status,Population,Overall_War_Group_Size_W,X_(W),LNP,LNW,W.P,X (W),
Latvia,1945,State,Massive Conflict,1,1994500,34000,0.875067245,14.50590395,10.4341158,0.017,0.875067245,0.902394391
Lithuania,1945,State,Massive Conflict,1,2575000,33000,0.857901194,14.76136009,10.40426284,0.0128,0.857901194,0.884550873
Netherlands,1945,State,Massive Conflict,1,8729000,87000,0.853025363,15.98216137,11.3736634,0.01,0.853025363,0.869120671
Norway,1945,State,Massive Conflict,1,2945000,4000,0.708501941,14.89561938,8.29404964,0.0014,0.708501941,0.755943739
Poland,1945,State,Massive Conflict,1,34849000,308000,0.857821129,17.366535,12.63785506,0.0088,0.857821129,0.861839657
Romania,1945,State,Massive Conflict,1,15970000,975000,0.967653625,16.58622252,13.79019275,0.0611,0.967653625,0.98668886
South Africa,1945,State,Massive Conflict,1,10160000,140000,0.874485584,16.133969,11.8493977,0.0138,0.874485584,0.889052994
Soviet Union,1945,State,Massive Conflict,1,188793000,20000000,1.000766508,19.05616173,16.81124283,0.1059,1.000766508,1.025496857
UK,1945,State,Massive Conflict,1,47760000,5090000,1.001165893,17.68169903,15.44278839,0.1066,1.001165893,1.02592825
USA,1945,State,Massive Conflict,1,131028000,12123000,0.993537988,18.6909216,16.31061503,0.0925,0.993537988,1.015823991
Yugoslavia,1945,State,Massive Conflict,1,15490000,156000,0.858745472,16.55570521,11.95761129,0.0101,0.858745472,0.869753868
