Society,Year,Type_of_Society,Time_Type,Military_Status,Population,Overall_War_Group_Size_W,X_(W),LNP,LNW,W.P,X (W),
El Salvador,2014,State,Contemporary,1,6401240,42400,0.824044625,15.67200228,10.65490364,0.0066,0.824044625,0.844614183
Eritrea,2014,State,Contemporary,1,6738000,321750,0.950250947,15.7232737,12.68153013,0.0478,0.950250947,0.969862962
Estonia,2014,State,Contemporary,1,1313271,47750,0.925129953,14.08803153,10.77373435,0.0364,0.925129953,0.951534585
Ethiopia,2014,State,Contemporary,1,90077000,138000,0.769512971,18.31617542,11.83500896,0.0015,0.769512971,0.762341945
Finland,2014,State,Contemporary,1,5483533,270300,0.95163793,15.51726016,12.50728773,0.0493,0.95163793,0.972022319
France,2014,State,Contemporary,1,66162000,328057,0.830785572,18.00761684,12.70094265,0.005,0.830785572,0.82766596
Georgia,2014,State,Contemporary,1,3729500,189525,0.952419168,15.13178473,12.15227622,0.0508,0.952419168,0.974097343
Greece,2014,State,Contemporary,1,10903704,329720,0.923534835,16.20461311,12.70599909,0.0302,0.923534835,0.939336574
Guatemala,2014,State,Contemporary,1,16176133,98075,0.828542326,16.59904744,11.49348777,0.0061,0.828542326,0.839400261
India,2014,State,Contemporary,1,1274880000,4768857,0.841221198,20.96611789,15.37761721,0.0037,0.841221198,0.81149789
Indonesia,2014,State,Contemporary,1,255770000,1093537,0.834949876,19.35978916,13.90492795,0.0043,0.834949876,0.819124878
Iran,2014,State,Contemporary,1,78523400,913000,0.879261694,18.17890723,13.72449116,0.0116,0.879261694,0.878545509
Iraq,2014,State,Contemporary,1,36004552,800000,0.911072507,17.39915593,13.59236701,0.0222,0.911072507,0.919289981
Israel,2014,State,Contemporary,1,8358100,649500,0.981475453,15.93874169,13.38395812,0.0777,0.981475453,1.003492793
Jordan,2014,State,Contemporary,1,6759700,180500,0.913300585,15.72648907,12.10348606,0.0267,0.913300585,0.93119306
Kuwait,2014,State,Contemporary,1,3268431,46300,0.866838556,14.99982061,10.74289724,0.0142,0.866838556,0.890775292
Laos,2014,State,Contemporary,1,6802000,129100,0.891636139,15.73272724,11.76834258,0.019,0.891636139,0.90920438
Lebanon,2014,State,Contemporary,1,4104000,100000,0.904447597,15.22747267,11.51292546,0.0244,0.904447597,0.925244968
Libya,2014,State,Contemporary,1,6317000,47000,0.831319508,15.65875497,10.75790288,0.0074,0.831319508,0.851515066
Malaysia,2014,State,Contemporary,1,30658700,429900,0.883539634,17.23842703,12.9713079,0.014,0.883539634,0.890139772
Mexico,2014,State,Contemporary,1,121740000,418844,0.816697332,18.61739818,12.94525381,0.0034,0.816697332,0.806760411
Moldova,2014,State,Contemporary,1,3555200,65704,0.885210146,15.08392188,11.09291509,0.0185,0.885210146,0.90751161
Mongolia,2014,State,Contemporary,1,3028359,154200,0.951888056,14.92353145,11.94600574,0.0509,0.951888056,0.974232554
Montenegro,2014,State,Contemporary,1,620029,13084,0.880123865,13.33752153,9.479145389,0.0211,0.880123865,0.915976314
Morocco,2014,State,Contemporary,1,33337529,395800,0.874496016,17.32219432,12.88866431,0.0119,0.874496016,0.879830907
Norway,2014,State,Contemporary,1,5176998,83000,0.878806829,15.45973591,11.32659589,0.016,0.878806829,0.898527248
Oman,2014,State,Contemporary,1,4163869,47000,0.854052402,15.24195525,10.75790288,0.0113,0.854052402,0.876724821
Pakistan,2014,State,Contemporary,1,190485000,1447800,0.862575865,19.06508401,14.18555572,0.0076,0.862575865,0.852787036
Palestine,2014,State,Contemporary,1,4682467,56000,0.858932499,15.35933567,10.93310697,0.012,0.858932499,0.880280696
Paraguay,2014,State,Contemporary,1,7003406,189950,0.914485894,15.76190716,12.15451616,0.0271,0.914485894,0.932211262
Peru,2014,State,Contemporary,1,31151643,380000,0.875572132,17.25437755,12.84792653,0.0122,0.875572132,0.881500234
Philippines,2014,State,Contemporary,1,101821000,296500,0.805876033,18.43872693,12.5998025,0.0029,0.805876033,0.797396564
Portugal,2014,State,Contemporary,1,10477800,291505,0.918190527,16.16476929,12.58281244,0.0278,0.918190527,0.933872441
Romania,2014,State,Contemporary,1,19942642,198800,0.860260661,16.80837081,12.20005457,0.01,0.860260661,0.869131728
Russia,2014,State,Contemporary,1,146535614,3280000,0.91810256,18.80277906,15.00335398,0.0224,0.91810256,0.919763968
Saudi Arabia,2014,State,Contemporary,1,31521418,249000,0.850491287,17.26617781,12.42520818,0.0079,0.850491287,0.855091912
Serbia,2014,State,Contemporary,1,7114393,88355,0.865062957,15.77763047,11.38911807,0.0124,0.865062957,0.882607828
Singapore,2014,State,Contemporary,1,5469700,1021600,1.037491577,15.51473433,13.83688058,0.1868,1.037491577,1.067022218
Somalia,2014,State,Contemporary,1,11123000,44000,0.798264975,16.22452559,10.69194491,0.004,0.798264975,0.814680639
South Korea,2014,State,Contemporary,1,51431100,3730000,0.979482188,17.75575361,15.13191879,0.0725,0.979482188,0.998654026
South Sudan,2014,State,Contemporary,1,11892934,140000,0.86603212,16.291455,11.8493977,0.0118,0.86603212,0.879305883
Sri Lanka,2014,State,Contemporary,1,20675000,378100,0.896583286,16.8444358,12.84291399,0.0183,0.896583286,0.906843881
Sudan,2014,State,Contemporary,1,38435252,211800,0.831568913,17.46448562,12.26339771,0.0055,0.831568913,0.833805932
Switzerland,2014,State,Contemporary,1,8256000,257900,0.924239368,15.92645077,12.46032719,0.0312,0.924239368,0.941475369
Syria,2014,State,Contemporary,1,23309137,250000,0.865859088,16.96435599,12.4292162,0.0107,0.865859088,0.873595149
